difficulty,label,mSAM+pts-bilateral-filter-best-of-three,mSAM+pts-bilateral-filter-single,mSAM+pts-no-filter-best-of-three,mSAM+pts-no-filter-single,mSAM-bilateral-filter-best-of-three,mSAM-bilateral-filter-single,mSAM-no-filter-best-of-three,mSAM-no-filter-single
easy,HT10a,0.0587069387655787,0.2385430483315697,0.0596486771310683,0.2410471925594212,0.0571420001199832,0.0571669378074834,0.0574077628152957,0.0567956564659427
easy,HT118,0.0650384266782509,0.1603767251383467,0.0460905744919187,0.1340853252165955,0.0465739977913723,0.0426084789805289,0.0437199752753508,0.0022681671464712
easy,HT12,0.0870859350038661,0.2091942006657679,0.0679050622445846,0.2129742235932726,0.0649407668315562,0.0580950718750991,0.0666414041503934,0.0482636725529408
easy,HT17,0.0716602213668882,0.2707735386769338,0.0615591800759255,0.258691942754002,0.0585268015002115,0.0596759005495355,0.0434889427343891,0.0297887080013855
easy,HT22,0.0856744232398226,0.1959710640008037,0.0751978029163669,0.1666762457612506,0.062566313414496,0.0602397640971656,0.0571344838672285,0.0567273189453448
easy,HT26a,0.0968583035901087,0.22318656421199,0.0593928074662359,0.2393637757621436,0.0559510320037734,0.047878984332793,0.0495346715209021,0.0014851701393439
easy,HT7a,0.0454612869735679,0.1431227281556092,0.0255378009596126,0.1574477351916376,0.0250683456700793,0.0220178303902546,0.0247860676091034,0.0197203071893901
easy,HT7b,0.0585366389489987,0.1511576626240353,0.0254991699381676,0.1561643835616438,0.0243801748146968,0.02637921644515,0.0259397362487242,0.0258667133351863
easy,KHWc2104,0.0502605575647122,0.5020871204470477,0.0574702004195342,0.494042973830706,0.038070016424807,0.0489700958974068,0.0352736131385079,0.0269694409528323
easy,PH2,0.0566172640659025,0.2358800677358302,0.0558811904578019,0.2266553067185978,0.053493723768596,0.0524044229447651,0.0544438781701249,0.0462821003310992
hard,HT1,0.06546293125386836,0.09614040306388041,0.050605158512950645,0.08653796917404885,0.044639370273199495,0.045167385238704554,0.04329288343343876,0.048910118121749745
hard,HT3,0.048595399698340876,0.06294960834117835,0.0580810417867048,0.06424709009256713,0.05975513500007446,0.052673799945733596,0.05593668352457639,0.04622995508354592
hard,HT30,0.05225524416279779,0.11903643275103575,0.04778307172960969,0.1020944823768223,0.02680060476655378,0.03460092858722087,0.02270386514669628,0.00551983323057048
hard,HT33,0.015934313137372525,0.03407238343658298,0.012908952764968291,0.03453992815694943,0.011538752905620656,0.011460396809757413,0.009836556968415738,2.3651005759019903e-05
hard,HT52a,0.043021371316165666,0.08381964985210648,0.03684892725388476,0.07297263131281209,0.03294024639304302,0.0436423865476626,0.028756035784578752,0.006391548365797293
hard,HT85a,0.040295910850586966,0.09618352450469239,0.040490243086337564,0.116390197283091,0.03870655482349252,0.03279825795386661,0.03928495482950453,0.00558059669456965
hard,HT8a,0.04996310218960027,0.15903060691528256,0.04105021216407355,0.1438028600372229,0.0393674614788014,0.039343258882270596,0.04082788870105542,0.04116280740403726
hard,HT94b,0.03939501568697094,0.06399224336444068,0.01967197668705876,0.05789837538886969,0.013115202355462999,0.019565613160073235,0.01496743155095862,0.01742713176136522
hard,HT9a,0.1188120602651522,0.23207664044667328,0.08600860246020763,0.2354885998565235,0.0569884130224641,0.06376240920425469,0.0544681092770246,0.020360103098518424
hard,HT9b,0.058511595233403865,0.07238415876672277,0.06334986572989018,0.062118126272912425,0.039410968192362866,0.005414185165132647,0.0,0.0
medium,HT154B,0.0259691307487836,0.1062915201250488,0.0185307597577645,0.1191107618766984,0.0144364802756657,0.0232307707695026,0.0116748423730443,0.0322501403705783
medium,HT16,0.0908277913026197,0.189479177538879,0.0513727292121371,0.1812219340242467,0.0435772106970787,0.0219764135162261,0.0235902571112998,0.0026388808040825
medium,HT2,0.039943484988847,0.1218811881188118,0.024504701620726,0.0872375738869638,0.0248592200761173,0.023038451752433,0.0255509767428815,0.0205011091121862
medium,HT4,0.0923957153879297,0.2206238024939535,0.0643051436438216,0.222070971135105,0.0661642124673681,0.0633602852231489,0.0660123038639662,0.0609385886334229
medium,HT40,0.0452786279816861,0.1404407418873659,0.0456490477359615,0.1280523731587561,0.0283401164062841,0.0320880657459073,0.0294589665653495,0.0287445797582802
medium,HT6b,0.0586215602120676,0.1904603733475054,0.0667422349741086,0.1852774706688008,0.0608254732183142,0.0052593517848925,0.0,0.0037482319660537
medium,HT85b,0.0419300638985138,0.1140183726287648,0.036303314041361,0.0960692194220971,0.0326304780934686,0.0342061011012546,0.0338632918140573,0.0348905195074764
medium,HT8b,0.0905821764750373,0.191065025680783,0.0651240418692821,0.165541859557142,0.0552304296845648,0.0571746963337171,0.055108934242887,0.0524241063374902
medium,HT90,0.0479102672189435,0.1899749613256144,0.0408282827549225,0.175504824511447,0.040671413305798,0.0469107728311384,0.0396493919935242,0.0121963614188433
medium,MA1a,0.138943031806503,0.2530504096900605,0.1380587339226116,0.2493715933746097,0.0,0.125463321158033,0.0,0.09034236138799
