difficulty,label,model,Dice
easy,HT10a,mSAM+pts-bilateral-filter-best-of-three,0.0587069387655787
easy,HT10a,mSAM+pts-bilateral-filter-single,0.2385430483315697
easy,HT10a,mSAM+pts-no-filter-best-of-three,0.0596486771310683
easy,HT10a,mSAM+pts-no-filter-single,0.2410471925594212
easy,HT10a,mSAM-bilateral-filter-best-of-three,0.0571420001199832
easy,HT10a,mSAM-bilateral-filter-single,0.0571669378074834
easy,HT10a,mSAM-no-filter-best-of-three,0.0574077628152957
easy,HT10a,mSAM-no-filter-single,0.0567956564659427
easy,HT118,mSAM+pts-bilateral-filter-best-of-three,0.0650384266782509
easy,HT118,mSAM+pts-bilateral-filter-single,0.1603767251383467
easy,HT118,mSAM+pts-no-filter-best-of-three,0.0460905744919187
easy,HT118,mSAM+pts-no-filter-single,0.1340853252165955
easy,HT118,mSAM-bilateral-filter-best-of-three,0.0465739977913723
easy,HT118,mSAM-bilateral-filter-single,0.0426084789805289
easy,HT118,mSAM-no-filter-best-of-three,0.0437199752753508
easy,HT118,mSAM-no-filter-single,0.0022681671464712
easy,HT12,mSAM+pts-bilateral-filter-best-of-three,0.0870859350038661
easy,HT12,mSAM+pts-bilateral-filter-single,0.2091942006657679
easy,HT12,mSAM+pts-no-filter-best-of-three,0.0679050622445846
easy,HT12,mSAM+pts-no-filter-single,0.2129742235932726
easy,HT12,mSAM-bilateral-filter-best-of-three,0.0649407668315562
easy,HT12,mSAM-bilateral-filter-single,0.0580950718750991
easy,HT12,mSAM-no-filter-best-of-three,0.0666414041503934
easy,HT12,mSAM-no-filter-single,0.0482636725529408
easy,HT17,mSAM+pts-bilateral-filter-best-of-three,0.0716602213668882
easy,HT17,mSAM+pts-bilateral-filter-single,0.2707735386769338
easy,HT17,mSAM+pts-no-filter-best-of-three,0.0615591800759255
easy,HT17,mSAM+pts-no-filter-single,0.258691942754002
easy,HT17,mSAM-bilateral-filter-best-of-three,0.0585268015002115
easy,HT17,mSAM-bilateral-filter-single,0.0596759005495355
easy,HT17,mSAM-no-filter-best-of-three,0.0434889427343891
easy,HT17,mSAM-no-filter-single,0.0297887080013855
easy,HT22,mSAM+pts-bilateral-filter-best-of-three,0.0856744232398226
easy,HT22,mSAM+pts-bilateral-filter-single,0.1959710640008037
easy,HT22,mSAM+pts-no-filter-best-of-three,0.0751978029163669
easy,HT22,mSAM+pts-no-filter-single,0.1666762457612506
easy,HT22,mSAM-bilateral-filter-best-of-three,0.062566313414496
easy,HT22,mSAM-bilateral-filter-single,0.0602397640971656
easy,HT22,mSAM-no-filter-best-of-three,0.0571344838672285
easy,HT22,mSAM-no-filter-single,0.0567273189453448
easy,HT26a,mSAM+pts-bilateral-filter-best-of-three,0.0968583035901087
easy,HT26a,mSAM+pts-bilateral-filter-single,0.22318656421199
easy,HT26a,mSAM+pts-no-filter-best-of-three,0.0593928074662359
easy,HT26a,mSAM+pts-no-filter-single,0.2393637757621436
easy,HT26a,mSAM-bilateral-filter-best-of-three,0.0559510320037734
easy,HT26a,mSAM-bilateral-filter-single,0.047878984332793
easy,HT26a,mSAM-no-filter-best-of-three,0.0495346715209021
easy,HT26a,mSAM-no-filter-single,0.0014851701393439
easy,HT7a,mSAM+pts-bilateral-filter-best-of-three,0.0454612869735679
easy,HT7a,mSAM+pts-bilateral-filter-single,0.1431227281556092
easy,HT7a,mSAM+pts-no-filter-best-of-three,0.0255378009596126
easy,HT7a,mSAM+pts-no-filter-single,0.1574477351916376
easy,HT7a,mSAM-bilateral-filter-best-of-three,0.0250683456700793
easy,HT7a,mSAM-bilateral-filter-single,0.0220178303902546
easy,HT7a,mSAM-no-filter-best-of-three,0.0247860676091034
easy,HT7a,mSAM-no-filter-single,0.0197203071893901
easy,HT7b,mSAM+pts-bilateral-filter-best-of-three,0.0585366389489987
easy,HT7b,mSAM+pts-bilateral-filter-single,0.1511576626240353
easy,HT7b,mSAM+pts-no-filter-best-of-three,0.0254991699381676
easy,HT7b,mSAM+pts-no-filter-single,0.1561643835616438
easy,HT7b,mSAM-bilateral-filter-best-of-three,0.0243801748146968
easy,HT7b,mSAM-bilateral-filter-single,0.02637921644515
easy,HT7b,mSAM-no-filter-best-of-three,0.0259397362487242
easy,HT7b,mSAM-no-filter-single,0.0258667133351863
easy,KHWc2104,mSAM+pts-bilateral-filter-best-of-three,0.0502605575647122
easy,KHWc2104,mSAM+pts-bilateral-filter-single,0.5020871204470477
easy,KHWc2104,mSAM+pts-no-filter-best-of-three,0.0574702004195342
easy,KHWc2104,mSAM+pts-no-filter-single,0.494042973830706
easy,KHWc2104,mSAM-bilateral-filter-best-of-three,0.038070016424807
easy,KHWc2104,mSAM-bilateral-filter-single,0.0489700958974068
easy,KHWc2104,mSAM-no-filter-best-of-three,0.0352736131385079
easy,KHWc2104,mSAM-no-filter-single,0.0269694409528323
easy,PH2,mSAM+pts-bilateral-filter-best-of-three,0.0566172640659025
easy,PH2,mSAM+pts-bilateral-filter-single,0.2358800677358302
easy,PH2,mSAM+pts-no-filter-best-of-three,0.0558811904578019
easy,PH2,mSAM+pts-no-filter-single,0.2266553067185978
easy,PH2,mSAM-bilateral-filter-best-of-three,0.053493723768596
easy,PH2,mSAM-bilateral-filter-single,0.0524044229447651
easy,PH2,mSAM-no-filter-best-of-three,0.0544438781701249
easy,PH2,mSAM-no-filter-single,0.0462821003310992
hard,HT1,mSAM+pts-bilateral-filter-best-of-three,0.06546293125386836
hard,HT1,mSAM+pts-bilateral-filter-single,0.09614040306388041
hard,HT1,mSAM+pts-no-filter-best-of-three,0.050605158512950645
hard,HT1,mSAM+pts-no-filter-single,0.08653796917404885
hard,HT1,mSAM-bilateral-filter-best-of-three,0.044639370273199495
hard,HT1,mSAM-bilateral-filter-single,0.045167385238704554
hard,HT1,mSAM-no-filter-best-of-three,0.04329288343343876
hard,HT1,mSAM-no-filter-single,0.048910118121749745
hard,HT3,mSAM+pts-bilateral-filter-best-of-three,0.048595399698340876
hard,HT3,mSAM+pts-bilateral-filter-single,0.06294960834117835
hard,HT3,mSAM+pts-no-filter-best-of-three,0.0580810417867048
hard,HT3,mSAM+pts-no-filter-single,0.06424709009256713
hard,HT3,mSAM-bilateral-filter-best-of-three,0.05975513500007446
hard,HT3,mSAM-bilateral-filter-single,0.052673799945733596
hard,HT3,mSAM-no-filter-best-of-three,0.05593668352457639
hard,HT3,mSAM-no-filter-single,0.04622995508354592
hard,HT30,mSAM+pts-bilateral-filter-best-of-three,0.05225524416279779
hard,HT30,mSAM+pts-bilateral-filter-single,0.11903643275103575
hard,HT30,mSAM+pts-no-filter-best-of-three,0.04778307172960969
hard,HT30,mSAM+pts-no-filter-single,0.1020944823768223
hard,HT30,mSAM-bilateral-filter-best-of-three,0.02680060476655378
hard,HT30,mSAM-bilateral-filter-single,0.03460092858722087
hard,HT30,mSAM-no-filter-best-of-three,0.02270386514669628
hard,HT30,mSAM-no-filter-single,0.00551983323057048
hard,HT33,mSAM+pts-bilateral-filter-best-of-three,0.015934313137372525
hard,HT33,mSAM+pts-bilateral-filter-single,0.03407238343658298
hard,HT33,mSAM+pts-no-filter-best-of-three,0.012908952764968291
hard,HT33,mSAM+pts-no-filter-single,0.03453992815694943
hard,HT33,mSAM-bilateral-filter-best-of-three,0.011538752905620656
hard,HT33,mSAM-bilateral-filter-single,0.011460396809757413
hard,HT33,mSAM-no-filter-best-of-three,0.009836556968415738
hard,HT33,mSAM-no-filter-single,2.3651005759019903e-05
hard,HT52a,mSAM+pts-bilateral-filter-best-of-three,0.043021371316165666
hard,HT52a,mSAM+pts-bilateral-filter-single,0.08381964985210648
hard,HT52a,mSAM+pts-no-filter-best-of-three,0.03684892725388476
hard,HT52a,mSAM+pts-no-filter-single,0.07297263131281209
hard,HT52a,mSAM-bilateral-filter-best-of-three,0.03294024639304302
hard,HT52a,mSAM-bilateral-filter-single,0.0436423865476626
hard,HT52a,mSAM-no-filter-best-of-three,0.028756035784578752
hard,HT52a,mSAM-no-filter-single,0.006391548365797293
hard,HT85a,mSAM+pts-bilateral-filter-best-of-three,0.040295910850586966
hard,HT85a,mSAM+pts-bilateral-filter-single,0.09618352450469239
hard,HT85a,mSAM+pts-no-filter-best-of-three,0.040490243086337564
hard,HT85a,mSAM+pts-no-filter-single,0.116390197283091
hard,HT85a,mSAM-bilateral-filter-best-of-three,0.03870655482349252
hard,HT85a,mSAM-bilateral-filter-single,0.03279825795386661
hard,HT85a,mSAM-no-filter-best-of-three,0.03928495482950453
hard,HT85a,mSAM-no-filter-single,0.00558059669456965
hard,HT8a,mSAM+pts-bilateral-filter-best-of-three,0.04996310218960027
hard,HT8a,mSAM+pts-bilateral-filter-single,0.15903060691528256
hard,HT8a,mSAM+pts-no-filter-best-of-three,0.04105021216407355
hard,HT8a,mSAM+pts-no-filter-single,0.1438028600372229
hard,HT8a,mSAM-bilateral-filter-best-of-three,0.0393674614788014
hard,HT8a,mSAM-bilateral-filter-single,0.039343258882270596
hard,HT8a,mSAM-no-filter-best-of-three,0.04082788870105542
hard,HT8a,mSAM-no-filter-single,0.04116280740403726
hard,HT94b,mSAM+pts-bilateral-filter-best-of-three,0.03939501568697094
hard,HT94b,mSAM+pts-bilateral-filter-single,0.06399224336444068
hard,HT94b,mSAM+pts-no-filter-best-of-three,0.01967197668705876
hard,HT94b,mSAM+pts-no-filter-single,0.05789837538886969
hard,HT94b,mSAM-bilateral-filter-best-of-three,0.013115202355462999
hard,HT94b,mSAM-bilateral-filter-single,0.019565613160073235
hard,HT94b,mSAM-no-filter-best-of-three,0.01496743155095862
hard,HT94b,mSAM-no-filter-single,0.01742713176136522
hard,HT9a,mSAM+pts-bilateral-filter-best-of-three,0.1188120602651522
hard,HT9a,mSAM+pts-bilateral-filter-single,0.23207664044667328
hard,HT9a,mSAM+pts-no-filter-best-of-three,0.08600860246020763
hard,HT9a,mSAM+pts-no-filter-single,0.2354885998565235
hard,HT9a,mSAM-bilateral-filter-best-of-three,0.0569884130224641
hard,HT9a,mSAM-bilateral-filter-single,0.06376240920425469
hard,HT9a,mSAM-no-filter-best-of-three,0.0544681092770246
hard,HT9a,mSAM-no-filter-single,0.020360103098518424
hard,HT9b,mSAM+pts-bilateral-filter-best-of-three,0.058511595233403865
hard,HT9b,mSAM+pts-bilateral-filter-single,0.07238415876672277
hard,HT9b,mSAM+pts-no-filter-best-of-three,0.06334986572989018
hard,HT9b,mSAM+pts-no-filter-single,0.062118126272912425
hard,HT9b,mSAM-bilateral-filter-best-of-three,0.039410968192362866
hard,HT9b,mSAM-bilateral-filter-single,0.005414185165132647
hard,HT9b,mSAM-no-filter-best-of-three,0.0
hard,HT9b,mSAM-no-filter-single,0.0
medium,HT154B,mSAM+pts-bilateral-filter-best-of-three,0.0259691307487836
medium,HT154B,mSAM+pts-bilateral-filter-single,0.1062915201250488
medium,HT154B,mSAM+pts-no-filter-best-of-three,0.0185307597577645
medium,HT154B,mSAM+pts-no-filter-single,0.1191107618766984
medium,HT154B,mSAM-bilateral-filter-best-of-three,0.0144364802756657
medium,HT154B,mSAM-bilateral-filter-single,0.0232307707695026
medium,HT154B,mSAM-no-filter-best-of-three,0.0116748423730443
medium,HT154B,mSAM-no-filter-single,0.0322501403705783
medium,HT16,mSAM+pts-bilateral-filter-best-of-three,0.0908277913026197
medium,HT16,mSAM+pts-bilateral-filter-single,0.189479177538879
medium,HT16,mSAM+pts-no-filter-best-of-three,0.0513727292121371
medium,HT16,mSAM+pts-no-filter-single,0.1812219340242467
medium,HT16,mSAM-bilateral-filter-best-of-three,0.0435772106970787
medium,HT16,mSAM-bilateral-filter-single,0.0219764135162261
medium,HT16,mSAM-no-filter-best-of-three,0.0235902571112998
medium,HT16,mSAM-no-filter-single,0.0026388808040825
medium,HT2,mSAM+pts-bilateral-filter-best-of-three,0.039943484988847
medium,HT2,mSAM+pts-bilateral-filter-single,0.1218811881188118
medium,HT2,mSAM+pts-no-filter-best-of-three,0.024504701620726
medium,HT2,mSAM+pts-no-filter-single,0.0872375738869638
medium,HT2,mSAM-bilateral-filter-best-of-three,0.0248592200761173
medium,HT2,mSAM-bilateral-filter-single,0.023038451752433
medium,HT2,mSAM-no-filter-best-of-three,0.0255509767428815
medium,HT2,mSAM-no-filter-single,0.0205011091121862
medium,HT4,mSAM+pts-bilateral-filter-best-of-three,0.0923957153879297
medium,HT4,mSAM+pts-bilateral-filter-single,0.2206238024939535
medium,HT4,mSAM+pts-no-filter-best-of-three,0.0643051436438216
medium,HT4,mSAM+pts-no-filter-single,0.222070971135105
medium,HT4,mSAM-bilateral-filter-best-of-three,0.0661642124673681
medium,HT4,mSAM-bilateral-filter-single,0.0633602852231489
medium,HT4,mSAM-no-filter-best-of-three,0.0660123038639662
medium,HT4,mSAM-no-filter-single,0.0609385886334229
medium,HT40,mSAM+pts-bilateral-filter-best-of-three,0.0452786279816861
medium,HT40,mSAM+pts-bilateral-filter-single,0.1404407418873659
medium,HT40,mSAM+pts-no-filter-best-of-three,0.0456490477359615
medium,HT40,mSAM+pts-no-filter-single,0.1280523731587561
medium,HT40,mSAM-bilateral-filter-best-of-three,0.0283401164062841
medium,HT40,mSAM-bilateral-filter-single,0.0320880657459073
medium,HT40,mSAM-no-filter-best-of-three,0.0294589665653495
medium,HT40,mSAM-no-filter-single,0.0287445797582802
medium,HT6b,mSAM+pts-bilateral-filter-best-of-three,0.0586215602120676
medium,HT6b,mSAM+pts-bilateral-filter-single,0.1904603733475054
medium,HT6b,mSAM+pts-no-filter-best-of-three,0.0667422349741086
medium,HT6b,mSAM+pts-no-filter-single,0.1852774706688008
medium,HT6b,mSAM-bilateral-filter-best-of-three,0.0608254732183142
medium,HT6b,mSAM-bilateral-filter-single,0.0052593517848925
medium,HT6b,mSAM-no-filter-best-of-three,0.0
medium,HT6b,mSAM-no-filter-single,0.0037482319660537
medium,HT85b,mSAM+pts-bilateral-filter-best-of-three,0.0419300638985138
medium,HT85b,mSAM+pts-bilateral-filter-single,0.1140183726287648
medium,HT85b,mSAM+pts-no-filter-best-of-three,0.036303314041361
medium,HT85b,mSAM+pts-no-filter-single,0.0960692194220971
medium,HT85b,mSAM-bilateral-filter-best-of-three,0.0326304780934686
medium,HT85b,mSAM-bilateral-filter-single,0.0342061011012546
medium,HT85b,mSAM-no-filter-best-of-three,0.0338632918140573
medium,HT85b,mSAM-no-filter-single,0.0348905195074764
medium,HT8b,mSAM+pts-bilateral-filter-best-of-three,0.0905821764750373
medium,HT8b,mSAM+pts-bilateral-filter-single,0.191065025680783
medium,HT8b,mSAM+pts-no-filter-best-of-three,0.0651240418692821
medium,HT8b,mSAM+pts-no-filter-single,0.165541859557142
medium,HT8b,mSAM-bilateral-filter-best-of-three,0.0552304296845648
medium,HT8b,mSAM-bilateral-filter-single,0.0571746963337171
medium,HT8b,mSAM-no-filter-best-of-three,0.055108934242887
medium,HT8b,mSAM-no-filter-single,0.0524241063374902
medium,HT90,mSAM+pts-bilateral-filter-best-of-three,0.0479102672189435
medium,HT90,mSAM+pts-bilateral-filter-single,0.1899749613256144
medium,HT90,mSAM+pts-no-filter-best-of-three,0.0408282827549225
medium,HT90,mSAM+pts-no-filter-single,0.175504824511447
medium,HT90,mSAM-bilateral-filter-best-of-three,0.040671413305798
medium,HT90,mSAM-bilateral-filter-single,0.0469107728311384
medium,HT90,mSAM-no-filter-best-of-three,0.0396493919935242
medium,HT90,mSAM-no-filter-single,0.0121963614188433
medium,MA1a,mSAM+pts-bilateral-filter-best-of-three,0.138943031806503
medium,MA1a,mSAM+pts-bilateral-filter-single,0.2530504096900605
medium,MA1a,mSAM+pts-no-filter-best-of-three,0.1380587339226116
medium,MA1a,mSAM+pts-no-filter-single,0.2493715933746097
medium,MA1a,mSAM-bilateral-filter-best-of-three,0.0
medium,MA1a,mSAM-bilateral-filter-single,0.125463321158033
medium,MA1a,mSAM-no-filter-best-of-three,0.0
medium,MA1a,mSAM-no-filter-single,0.09034236138799
