difficulty,label,model,Dice
easy,HT118,Otsu,0.1094288564289453
easy,HT12,Otsu,0.1923916780044253
easy,HT154B,Otsu,0.0726385544735888
easy,HT17,Otsu,0.0705643786765027
easy,HT22,Otsu,0.1356943642673825
easy,HT26a,Otsu,0.1162953196682696
easy,HT40,Otsu,0.0878856157911678
easy,HT7a,Otsu,0.1161862527716186
easy,HT7b,Otsu,0.0736098497715723
easy,HT90,Otsu,0.1400882648979275
easy,KHWc2104,Otsu,0.0689258569955124
easy,HT118,Gaussian,0.1615174127333403
easy,HT12,Gaussian,0.2589107255901955
easy,HT154B,Gaussian,0.1474119424346028
easy,HT17,Gaussian,0.21474582444456
easy,HT22,Gaussian,0.1865940525013698
easy,HT26a,Gaussian,0.2559317804563158
easy,HT40,Gaussian,0.160797213622291
easy,HT7a,Gaussian,0.1360988715744223
easy,HT7b,Gaussian,0.1615038496150385
easy,HT90,Gaussian,0.1810208267329209
easy,KHWc2104,Gaussian,0.3698297845873157
easy,HT118,CannyFill,0.135822933536566
easy,HT12,CannyFill,0.1249769741969308
easy,HT154B,CannyFill,0.0
easy,HT17,CannyFill,0.1365993547616202
easy,HT22,CannyFill,0.009335023625677
easy,HT26a,CannyFill,0.1214430766916539
easy,HT40,CannyFill,0.136547823805498
easy,HT7a,CannyFill,0.1201422591042122
easy,HT7b,CannyFill,0.1748090732930582
easy,HT90,CannyFill,0.0168768091056272
easy,KHWc2104,CannyFill,0.0019667755417412
easy,HT118,GC+brush,0.1688929697087413
easy,HT12,GC+brush,0.259981091774922
easy,HT154B,GC+brush,0.1431611260334182
easy,HT17,GC+brush,0.2304064137337559
easy,HT22,GC+brush,0.1923120425277513
easy,HT26a,GC+brush,0.263408010862186
easy,HT40,GC+brush,0.1607931778485564
easy,HT7a,GC+brush,0.1291564970106809
easy,HT7b,GC+brush,0.180282062000836
easy,HT90,GC+brush,0.1794718076546871
easy,KHWc2104,GC+brush,0.4415422400686133
easy,HT118,mSAM,0.0022681671464712
easy,HT12,mSAM,0.0482636725529408
easy,HT154B,mSAM,0.0322501403705783
easy,HT17,mSAM,0.0297887080013855
easy,HT22,mSAM,0.0567273189453448
easy,HT26a,mSAM,0.0014851701393439
easy,HT40,mSAM,0.0287445797582802
easy,HT7a,mSAM,0.0197203071893901
easy,HT7b,mSAM,0.0258667133351863
easy,HT90,mSAM,0.0121963614188433
easy,KHWc2104,mSAM,0.0269694409528323
easy,HT118,mSAM+pts,0.1369823820056562
easy,HT12,mSAM+pts,0.199408865368262
easy,HT154B,mSAM+pts,0.0878874871605783
