difficulty,label,model,Dice
easy,HT10a,mSAM+pts-bilateral-filter-best-of-three,0.0577366894112479
easy,HT10a,mSAM+pts-bilateral-filter-single,0.2176382290586651
easy,HT10a,mSAM+pts-no-filter-best-of-three,0.0671531443004607
easy,HT10a,mSAM+pts-no-filter-single,0.2332771056305258
easy,HT10a,mSAM-bilateral-filter-best-of-three,0.0570290451012282
easy,HT10a,mSAM-bilateral-filter-single,0.0574354223540658
easy,HT10a,mSAM-no-filter-best-of-three,0.0574077628152957
easy,HT10a,mSAM-no-filter-single,0.0567956564659427
easy,HT131a,mSAM+pts-bilateral-filter-best-of-three,0.0626761548253534
easy,HT131a,mSAM+pts-bilateral-filter-single,0.2036406606082773
easy,HT131a,mSAM+pts-no-filter-best-of-three,0.0501089021948693
easy,HT131a,mSAM+pts-no-filter-single,0.1800423344420925
easy,HT131a,mSAM-bilateral-filter-best-of-three,0.0514603244826507
easy,HT131a,mSAM-bilateral-filter-single,0.0230231407415954
easy,HT131a,mSAM-no-filter-best-of-three,0.0518053165583738
easy,HT131a,mSAM-no-filter-single,0.0009932086889316
easy,HT17,mSAM+pts-bilateral-filter-best-of-three,0.0816496352213545
easy,HT17,mSAM+pts-bilateral-filter-single,0.2647960712885897
easy,HT17,mSAM+pts-no-filter-best-of-three,0.0615152864916164
easy,HT17,mSAM+pts-no-filter-single,0.2642793666181935
easy,HT17,mSAM-bilateral-filter-best-of-three,0.0570648574929692
easy,HT17,mSAM-bilateral-filter-single,0.0560262398442299
easy,HT17,mSAM-no-filter-best-of-three,0.0434889427343891
easy,HT17,mSAM-no-filter-single,0.0297887080013855
easy,HT21,mSAM+pts-bilateral-filter-best-of-three,0.0541374737511492
easy,HT21,mSAM+pts-bilateral-filter-single,0.2150321929655967
easy,HT21,mSAM+pts-no-filter-best-of-three,0.0476993361875902
easy,HT21,mSAM+pts-no-filter-single,0.2148428182989076
easy,HT21,mSAM-bilateral-filter-best-of-three,0.0441881505530246
easy,HT21,mSAM-bilateral-filter-single,0.0431250330945482
easy,HT21,mSAM-no-filter-best-of-three,0.0417784682012898
easy,HT21,mSAM-no-filter-single,0.006961727315531
easy,HT22,mSAM+pts-bilateral-filter-best-of-three,0.0874457332790666
easy,HT22,mSAM+pts-bilateral-filter-single,0.200367841363127
easy,HT22,mSAM+pts-no-filter-best-of-three,0.0626822021228883
easy,HT22,mSAM+pts-no-filter-single,0.1729333588558615
easy,HT22,mSAM-bilateral-filter-best-of-three,0.0602177364481741
easy,HT22,mSAM-bilateral-filter-single,0.0607282054015708
easy,HT22,mSAM-no-filter-best-of-three,0.0571344838672285
easy,HT22,mSAM-no-filter-single,0.0567273189453448
easy,HT7a,mSAM+pts-bilateral-filter-best-of-three,0.0277823278700108
easy,HT7a,mSAM+pts-bilateral-filter-single,0.1352290679304897
easy,HT7a,mSAM+pts-no-filter-best-of-three,0.0251407906669503
easy,HT7a,mSAM+pts-no-filter-single,0.1503537330860636
easy,HT7a,mSAM-bilateral-filter-best-of-three,0.0218400301325589
easy,HT7a,mSAM-bilateral-filter-single,0.0245986341336202
easy,HT7a,mSAM-no-filter-best-of-three,0.0247860676091034
easy,HT7a,mSAM-no-filter-single,0.0197203071893901
easy,MA9,mSAM+pts-bilateral-filter-best-of-three,0.065309532429196
easy,MA9,mSAM+pts-bilateral-filter-single,0.1197333896311487
easy,MA9,mSAM+pts-no-filter-best-of-three,0.0487835439072778
easy,MA9,mSAM+pts-no-filter-single,0.1090600883258241
easy,MA9,mSAM-bilateral-filter-best-of-three,0.0337237366461486
easy,MA9,mSAM-bilateral-filter-single,0.0340970830872206
easy,MA9,mSAM-no-filter-best-of-three,0.0240265132138577
easy,MA9,mSAM-no-filter-single,0.0312795448375213
easy,PH2,mSAM+pts-bilateral-filter-best-of-three,0.0566315890743533
easy,PH2,mSAM+pts-bilateral-filter-single,0.225138042267911
easy,PH2,mSAM+pts-no-filter-best-of-three,0.055560695780903
easy,PH2,mSAM+pts-no-filter-single,0.2296477820235919
easy,PH2,mSAM-bilateral-filter-best-of-three,0.0549132370055469
easy,PH2,mSAM-bilateral-filter-single,0.0523868089943238
easy,PH2,mSAM-no-filter-best-of-three,0.0544438781701249
easy,PH2,mSAM-no-filter-single,0.0462821003310992
easy,PH31a,mSAM+pts-bilateral-filter-best-of-three,0.0613651747673511
easy,PH31a,mSAM+pts-bilateral-filter-single,0.1850509740587463
easy,PH31a,mSAM+pts-no-filter-best-of-three,0.056224762796903
easy,PH31a,mSAM+pts-no-filter-single,0.1908438082073029
easy,PH31a,mSAM-bilateral-filter-best-of-three,0.0527383367139959
easy,PH31a,mSAM-bilateral-filter-single,0.046027819828054
easy,PH31a,mSAM-no-filter-best-of-three,0.0472336250511563
easy,PH31a,mSAM-no-filter-single,0.0448652089428896
hard,HT1,mSAM+pts-bilateral-filter-best-of-three,0.0679371166367999
hard,HT1,mSAM+pts-bilateral-filter-single,0.09347844914691533
hard,HT1,mSAM+pts-no-filter-best-of-three,0.05060733788279953
hard,HT1,mSAM+pts-no-filter-single,0.08220312661766228
hard,HT1,mSAM-bilateral-filter-best-of-three,0.04671480048316477
hard,HT1,mSAM-bilateral-filter-single,0.04519164787765905
hard,HT1,mSAM-no-filter-best-of-three,0.04329288343343876
hard,HT1,mSAM-no-filter-single,0.048910118121749745
hard,HT115b,mSAM+pts-bilateral-filter-best-of-three,0.019888230755728275
hard,HT115b,mSAM+pts-bilateral-filter-single,0.024427123014710193
hard,HT115b,mSAM+pts-no-filter-best-of-three,0.015197508053329437
hard,HT115b,mSAM+pts-no-filter-single,0.02520129412050889
hard,HT115b,mSAM-bilateral-filter-best-of-three,0.01485782390654306
hard,HT115b,mSAM-bilateral-filter-single,0.014462420379125429
hard,HT115b,mSAM-no-filter-best-of-three,0.014615571725009834
hard,HT115b,mSAM-no-filter-single,0.0014366341713699332
hard,HT122b,mSAM+pts-bilateral-filter-best-of-three,0.0445253099020739
hard,HT122b,mSAM+pts-bilateral-filter-single,0.12163315051797684
hard,HT122b,mSAM+pts-no-filter-best-of-three,0.05403930131004367
hard,HT122b,mSAM+pts-no-filter-single,0.12323690898861145
hard,HT122b,mSAM-bilateral-filter-best-of-three,0.04580201441087093
hard,HT122b,mSAM-bilateral-filter-single,0.030281962147547317
hard,HT122b,mSAM-no-filter-best-of-three,0.035045780911155976
hard,HT122b,mSAM-no-filter-single,0.0034016727590805763
hard,HT140,mSAM+pts-bilateral-filter-best-of-three,0.0066280275523107075
hard,HT140,mSAM+pts-bilateral-filter-single,0.010122089488472978
hard,HT140,mSAM+pts-no-filter-best-of-three,0.005397158588758682
hard,HT140,mSAM+pts-no-filter-single,0.00950888756821006
hard,HT140,mSAM-bilateral-filter-best-of-three,0.003584697765726488
hard,HT140,mSAM-bilateral-filter-single,0.0038494290492361674
hard,HT140,mSAM-no-filter-best-of-three,0.0014789536402994882
hard,HT140,mSAM-no-filter-single,0.004265308087053753
hard,HT3,mSAM+pts-bilateral-filter-best-of-three,0.05569204287614428
hard,HT3,mSAM+pts-bilateral-filter-single,0.08118500021282331
hard,HT3,mSAM+pts-no-filter-best-of-three,0.058732130362015154
hard,HT3,mSAM+pts-no-filter-single,0.07243997141035795
hard,HT3,mSAM-bilateral-filter-best-of-three,0.0581921022243195
hard,HT3,mSAM-bilateral-filter-single,0.05409573750265081
