difficulty,label,CannyFill,Gaussian,Otsu,SAM+pts-no-filter
easy,HT10a,0.3896703595196057,0.4452816338867419,0.2918927038938572,0.3800530906332954
easy,HT131a,0.1524420099149274,0.4638239385723416,0.400924152639034,0.343291030352825
easy,HT17,0.2531149496283359,0.3671990661655848,0.1570869451395697,0.3887952041448341
easy,HT21,0.190511849176284,0.4023790551576278,0.2196022226081866,0.2779539571798344
easy,HT22,0.2261282660332541,0.382471666683699,0.3189499341084819,0.3197774355407621
easy,HT7a,0.4034436623814786,0.4269554259590306,0.414734784733156,0.2588502195592114
easy,MA9,0.0006954102920723,0.2036467851802625,0.1069938216687452,0.213181513896809
easy,PH2,0.3241291365226064,0.4232690022769123,0.2450873153679637,0.3829059065320346
easy,PH31a,0.0089072452229299,0.3539396405321257,0.3430047736452814,0.3375229043754908
hard,HT1,0.13080995235574377,0.18075182585396873,0.09592298158917348,0.22922599768576002
hard,HT115b,0.05850344932952556,0.18984626385412942,0.09027340406634045,0.124498767662149
hard,HT122b,0.21208514015248137,0.26817375886524825,0.13782196769030877,0.17733769659213655
hard,HT140,0.225269843670252,0.23734560836872579,0.15788515694759256,0.2126347482459206
hard,HT3,0.14051979890213356,0.15513470681458003,0.1330587762710939,0.15781174661506184
hard,HT30,0.2821606309451019,0.27091576274683965,0.231875810991986,0.3124806260001173
hard,HT8a,0.2948247207513624,0.4024524831391784,0.1822228681132927,0.23113799589295797
hard,HT9b,0.09974241236420651,0.21151353036742865,0.20543599040879584,0.19707290972068806
hard,KN1a,0.01970145786141604,0.3004252656313854,0.22769172878242055,0.33415620707620897
medium,HT13,0.4215123621089606,0.4513998520450576,0.3010404281143499,0.2334110820096512
medium,HT132,0.0007118071002758,0.4722822508092266,0.2080295405464307,0.1526697025716187
medium,HT135a,0.1074651587845556,0.3431273914111207,0.2489584814057494,0.2230359943076239
medium,HT154B,0.0,0.3028459850356828,0.1863209608895571,0.2696035242290749
medium,HT20,0.1806151077232544,0.352765430967328,0.176942835557794,0.2086855452240067
medium,HT4,0.3054585302376549,0.3559909718360537,0.3208328810738449,0.3480416460089241
medium,HT85b,0.3171923783957281,0.2933441717283476,0.2307024773883396,0.2865784202050355
medium,HT90,0.1879309055559709,0.2659687123947051,0.250727452633122,0.3107913443772899
medium,PH31b,0.0141739304216821,0.3125172369791345,0.1644895459443535,0.1796775871034841
