difficulty,label,model,Dice
easy,HT10a,CannyFill,0.2316059752590042
easy,HT10a,GC+brush,0.2538411057513413
easy,HT10a,Gaussian,0.254371291503598
easy,HT10a,Otsu,0.1322314501895002
easy,HT10a,mSAM,0.0567956564659427
easy,HT10a,mSAM+pts,0.2330662353892523
easy,HT10a,mSAM+pts-bilateral-filter-single,0.2385430483315697
easy,HT118,CannyFill,0.1269365062140545
easy,HT118,GC+brush,0.1461500599657536
easy,HT118,Gaussian,0.1624956809319314
easy,HT118,Otsu,0.1105321901730256
easy,HT118,mSAM,0.0022681671464712
easy,HT118,mSAM+pts,0.1388842519947918
easy,HT118,mSAM+pts-bilateral-filter-single,0.1603767251383467
easy,HT12,CannyFill,0.2410182229839153
easy,HT12,GC+brush,0.2681162641535794
easy,HT12,Gaussian,0.259311659718702
easy,HT12,Otsu,0.1915222863187173
easy,HT12,mSAM,0.0482636725529408
easy,HT12,mSAM+pts,0.2178663302907202
easy,HT12,mSAM+pts-bilateral-filter-single,0.2091942006657679
easy,HT17,CannyFill,0.1792397084892653
easy,HT17,GC+brush,0.229241499895471
easy,HT17,Gaussian,0.2264562497955088
easy,HT17,Otsu,0.0704149439636137
easy,HT17,mSAM,0.0297887080013855
easy,HT17,mSAM+pts,0.2628904758046781
easy,HT17,mSAM+pts-bilateral-filter-single,0.2707735386769338
easy,HT22,CannyFill,0.1251056086306622
easy,HT22,GC+brush,0.1893646428122687
easy,HT22,Gaussian,0.1918847787124796
easy,HT22,Otsu,0.1371621621621621
easy,HT22,mSAM,0.0567273189453448
easy,HT22,mSAM+pts,0.1629408842523596
easy,HT22,mSAM+pts-bilateral-filter-single,0.1959710640008037
easy,HT26a,CannyFill,0.2271934353936112
easy,HT26a,GC+brush,0.2647009779399503
easy,HT26a,Gaussian,0.2636808989807527
easy,HT26a,Otsu,0.1175313307942959
easy,HT26a,mSAM,0.0014851701393439
easy,HT26a,mSAM+pts,0.2420028588478565
easy,HT26a,mSAM+pts-bilateral-filter-single,0.22318656421199
easy,HT7a,CannyFill,0.1174949384963506
easy,HT7a,GC+brush,0.1249282790804421
easy,HT7a,Gaussian,0.1357688475589505
easy,HT7a,Otsu,0.1173675278144446
easy,HT7a,mSAM,0.0197203071893901
easy,HT7a,mSAM+pts,0.1587523448707102
easy,HT7a,mSAM+pts-bilateral-filter-single,0.1431227281556092
easy,HT7b,CannyFill,0.1719201254228896
easy,HT7b,GC+brush,0.1624115110977059
easy,HT7b,Gaussian,0.177929365166685
easy,HT7b,Otsu,0.0747394085014663
easy,HT7b,mSAM,0.0258667133351863
easy,HT7b,mSAM+pts,0.1501641571380052
easy,HT7b,mSAM+pts-bilateral-filter-single,0.1511576626240353
easy,KHWc2104,CannyFill,0.1189713553582868
easy,KHWc2104,GC+brush,0.4524231424295078
easy,KHWc2104,Gaussian,0.4534360706762065
easy,KHWc2104,Otsu,0.0685112849377615
