difficulty,model,Dice_median,Dice_mean,Dice_std,Dice_std_error,Dice_n
all,CannyFill,0.109286946960094,0.09725077011293815,0.07641457781970652,0.014705992358073055,27
all,Gaussian,0.1721391514603995,0.1634875092518873,0.07245274979851589,0.013943538199900584,27
all,Otsu,0.0709459919325931,0.08394525918149762,0.04755491729308568,0.009151948100151136,27
all,mSAM+pts-no-filter,0.118998936779259,0.12204483643366876,0.06385146515860764,0.012288220199158043,27
easy,CannyFill,0.1414177125684992,0.12683743994891353,0.08099081509996012,0.026996938366653372,9
easy,Gaussian,0.2203968931884547,0.20148696520145945,0.04593884231771902,0.015312947439239673,9
easy,Otsu,0.1171804511278195,0.11234853822651097,0.04111526674904715,0.01370508891634905,9
easy,mSAM+pts-no-filter,0.1593572145965852,0.16693399592021857,0.0420664511073908,0.014022150369130267,9
hard,CannyFill,0.079908857271547,0.07399206175734103,0.049272528691653925,0.01642417623055131,9
hard,Gaussian,0.1132648146633588,0.11618940617036481,0.06310776790830598,0.021035922636101993,9
hard,Otsu,0.0575605174245498,0.05335042148072128,0.0315496156231303,0.010516538541043433,9
hard,mSAM+pts-no-filter,0.0785238063169237,0.08793510887986129,0.0647462680059962,0.021582089335332066,9
medium,CannyFill,0.109484897457492,0.09092280863255987,0.0913872883583921,0.030462429452797368,9
medium,Gaussian,0.1721391514603995,0.17278615638383765,0.08203115074631182,0.02734371691543727,9
medium,Otsu,0.0719549850990349,0.08613681783726063,0.051941237623600485,0.017313745874533496,9
medium,mSAM+pts-no-filter,0.1023553137247441,0.11126540450092641,0.05985040589425459,0.019950135298084863,9
