difficulty,label,model,Dice
easy,HT10a,FATESAM2D,0.1809927534156331
easy,HT10a,FATESAM2D+pts,0.0588935925026928
easy,HT10a,FATESAM2DBlank,0.042195570340541
easy,HT10a,GFSAM,0.0587810556240913
easy,HT10a,mSAM+pts-no-filter,0.1593572145965852
easy,HT131a,FATESAM2D,0.1388311898764013
easy,HT131a,FATESAM2D+pts,0.0674303377522026
easy,HT131a,FATESAM2DBlank,0.0297521315107515
easy,HT131a,GFSAM,0.0660363583655468
easy,HT131a,mSAM+pts-no-filter,0.1890257221406244
easy,HT17,FATESAM2D,0.2161487393845397
easy,HT17,FATESAM2D+pts,0.056468321696716
easy,HT17,FATESAM2DBlank,0.04860463670831
easy,HT17,GFSAM,0.1685973979682766
easy,HT17,mSAM+pts-no-filter,0.2474789335543583
easy,HT21,FATESAM2D,0.1960544959128065
easy,HT21,FATESAM2D+pts,0.0486341109633748
easy,HT21,FATESAM2DBlank,0.0111554339255067
easy,HT21,GFSAM,0.0490281854584653
easy,HT21,mSAM+pts-no-filter,0.1873750657548658
easy,HT22,FATESAM2D,0.1411008781323623
easy,HT22,FATESAM2D+pts,0.0637976519920308
easy,HT22,FATESAM2DBlank,0.0499789118515394
easy,HT22,GFSAM,0.0615699427581587
easy,HT22,mSAM+pts-no-filter,0.1569392262024263
easy,HT7a,FATESAM2D,0.1748081156660915
easy,HT7a,FATESAM2D+pts,0.0269467929172671
easy,HT7a,FATESAM2DBlank,0.042089580035385
easy,HT7a,GFSAM,0.0265003800777459
easy,HT7a,mSAM+pts-no-filter,0.1224279076628069
easy,MA9,FATESAM2D,0.1158280922431865
easy,MA9,FATESAM2D+pts,0.0340030367934678
easy,MA9,FATESAM2DBlank,0.0683907341585978
easy,MA9,GFSAM,0.0360855873167797
easy,MA9,mSAM+pts-no-filter,0.1016492995652473
easy,PH2,FATESAM2D,0.188141105829372
easy,PH2,FATESAM2D+pts,0.0580056662790888
easy,PH2,FATESAM2DBlank,0.0271445045684378
easy,PH2,GFSAM,0.0580701661702015
easy,PH2,mSAM+pts-no-filter,0.155772982010713
easy,PH31a,FATESAM2D,0.0818138634121387
easy,PH31a,FATESAM2D+pts,0.0545853958751796
easy,PH31a,FATESAM2DBlank,0.038926570333235
easy,PH31a,GFSAM,0.0547376552039823
easy,PH31a,mSAM+pts-no-filter,0.1823796117943399
hard,HT1,FATESAM2D,0.1030613880429556
hard,HT1,FATESAM2D+pts,0.04378529458368523
hard,HT1,FATESAM2DBlank,0.05929356857476222
hard,HT1,GFSAM,0.03955661519473118
hard,HT1,mSAM+pts-no-filter,0.09100791520875089
hard,HT115b,FATESAM2D,0.014395243310905961
hard,HT115b,FATESAM2D+pts,0.01523854900110909
hard,HT115b,FATESAM2DBlank,0.0003550821127385708
hard,HT115b,GFSAM,0.015365514790349808
hard,HT115b,mSAM+pts-no-filter,0.023270462259859327
hard,HT122b,FATESAM2D,0.06757100466299279
hard,HT122b,FATESAM2D+pts,0.056647692919294036
hard,HT122b,FATESAM2DBlank,0.05631029730261863
hard,HT122b,GFSAM,0.061402192342447336
hard,HT122b,mSAM+pts-no-filter,0.0944055944055944
hard,HT140,FATESAM2D,0.0061032555080565605
hard,HT140,FATESAM2D+pts,0.005943925530310846
hard,HT140,FATESAM2DBlank,0.006907682375726275
hard,HT140,GFSAM,0.005835189309576837
hard,HT140,mSAM+pts-no-filter,0.009580063704372659
hard,HT3,FATESAM2D,0.06963667820069204
hard,HT3,FATESAM2D+pts,0.06071474640314365
hard,HT3,FATESAM2DBlank,0.054978867286559596
hard,HT3,GFSAM,0.06053598956480493
hard,HT3,mSAM+pts-no-filter,0.06616117355686797
hard,HT30,FATESAM2D,0.04557559783653186
hard,HT30,FATESAM2D+pts,0.033026700094135567
hard,HT30,FATESAM2DBlank,0.0220162224797219
hard,HT30,GFSAM,0.030460196919243947
hard,HT30,mSAM+pts-no-filter,0.0785238063169237
hard,HT8a,FATESAM2D,0.14013088645828567
hard,HT8a,FATESAM2D+pts,0.04340653733032724
hard,HT8a,FATESAM2DBlank,0.010108825458765748
hard,HT8a,GFSAM,0.04297806324183498
hard,HT8a,mSAM+pts-no-filter,0.14497319936216402
hard,HT9b,FATESAM2D,0.03191888847164852
hard,HT9b,FATESAM2D+pts,0.04541783810747573
hard,HT9b,FATESAM2DBlank,0.0
hard,HT9b,GFSAM,0.046470739586609106
hard,HT9b,mSAM+pts-no-filter,0.05941566063641343
hard,KN1a,FATESAM2D,0.28664018839408106
hard,KN1a,FATESAM2D+pts,0.10064039167404323
hard,KN1a,FATESAM2DBlank,0.16656293593733232
hard,KN1a,GFSAM,0.10212503858489497
hard,KN1a,mSAM+pts-no-filter,0.22407810446780552
medium,HT13,FATESAM2D,0.112807787745753
medium,HT13,FATESAM2D+pts,0.0652605326618048
medium,HT13,FATESAM2DBlank,0.0184369518612356
medium,HT13,GFSAM,0.0635983126644272
medium,HT13,mSAM+pts-no-filter,0.1615033727258317
medium,HT132,FATESAM2D,0.1904844557586978
medium,HT132,FATESAM2D+pts,0.0592967088245698
medium,HT132,FATESAM2DBlank,0.1167020780432191
medium,HT132,GFSAM,0.0582888503797384
medium,HT132,mSAM+pts-no-filter,0.0816534204630092
medium,HT135a,FATESAM2D,0.0018087271082975
medium,HT135a,FATESAM2D+pts,0.000705136016715
medium,HT135a,FATESAM2DBlank,0.0019047619047619
medium,HT135a,GFSAM,0.0007169075814155
medium,HT135a,mSAM+pts-no-filter,0.0025613753283118
medium,HT154B,FATESAM2D,0.1323205096790002
medium,HT154B,FATESAM2D+pts,0.0174895774320535
medium,HT154B,FATESAM2DBlank,0.02905874921036
medium,HT154B,GFSAM,0.1363405121248092
medium,HT154B,mSAM+pts-no-filter,0.0907439633162701
medium,HT20,FATESAM2D,0.121063702866472
medium,HT20,FATESAM2D+pts,0.0535978798657785
medium,HT20,FATESAM2DBlank,0.0305430788076766
medium,HT20,GFSAM,0.0585757929553968
medium,HT20,mSAM+pts-no-filter,0.118998936779259
medium,HT4,FATESAM2D,0.1506389613911392
medium,HT4,FATESAM2D+pts,0.075950689170091
medium,HT4,FATESAM2DBlank,0.0229307568438003
medium,HT4,GFSAM,0.0765852641455341
medium,HT4,mSAM+pts-no-filter,0.2087866756045996
medium,HT85b,FATESAM2D,0.0710792807362057
medium,HT85b,FATESAM2D+pts,0.0333546541395535
medium,HT85b,FATESAM2DBlank,0.0332292464502445
medium,HT85b,GFSAM,0.0344561269800637
medium,HT85b,mSAM+pts-no-filter,0.0768128403554027
medium,HT90,FATESAM2D,0.0593044381001816
medium,HT90,FATESAM2D+pts,0.0405616994316013
medium,HT90,FATESAM2DBlank,0.0009282178217821
