number,value,datetime_start,datetime_complete,duration,params_C,params_d_gap_erosion,params_d_gaussian,params_n_bgd_points,params_n_fgd_points,state
0,0.04856114670863276,2026-04-10 04:04:22.189375,2026-04-10 04:05:06.755301,0 days 00:00:44.565926,4,17,23,1050,609,COMPLETE
1,0.04870733469993851,2026-04-10 04:05:06.756795,2026-04-10 04:05:52.972336,0 days 00:00:46.215541,6,11,13,1326,518,COMPLETE
2,0.05103748546010725,2026-04-10 04:05:52.981396,2026-04-10 04:06:36.594052,0 days 00:00:43.612656,0,15,27,1631,12,COMPLETE
3,0.048175330965377246,2026-04-10 04:06:36.595352,2026-04-10 04:07:17.183382,0 days 00:00:40.588030,3,7,9,1273,63,COMPLETE
4,0.04866258768182079,2026-04-10 04:07:17.185051,2026-04-10 04:07:55.200946,0 days 00:00:38.015895,10,21,19,1022,14,COMPLETE
5,0.049136040650179215,2026-04-10 04:07:55.202970,2026-04-10 04:08:54.813629,0 days 00:00:59.610659,10,17,29,1524,1345,COMPLETE
6,0.04713665997712405,2026-04-10 04:08:54.815053,2026-04-10 04:09:37.877628,0 days 00:00:43.062575,0,15,21,1320,516,COMPLETE
7,0.0483605463211875,2026-04-10 04:09:37.879925,2026-04-10 04:10:27.921092,0 days 00:00:50.041167,7,13,15,449,1304,COMPLETE
8,0.04918019267238301,2026-04-10 04:10:27.923628,2026-04-10 04:11:44.510949,0 days 00:01:16.587321,2,13,5,1908,1881,COMPLETE
9,0.048670498000382784,2026-04-10 04:11:44.512105,2026-04-10 04:12:30.009576,0 days 00:00:45.497471,9,9,19,588,719,COMPLETE
10,0.047736261403163775,2026-04-10 04:12:30.011040,2026-04-10 04:13:19.793211,0 days 00:00:49.782171,0,15,27,36,1940,COMPLETE
11,0.04924836337634011,2026-04-10 04:13:19.794178,2026-04-10 04:14:34.442876,0 days 00:01:14.648698,2,3,5,1935,1931,COMPLETE
12,0.04920587388676685,2026-04-10 04:14:34.452381,2026-04-10 04:15:44.719625,0 days 00:01:10.267244,2,3,5,1983,1380,COMPLETE
13,0.04875301989266537,2026-04-10 04:15:44.720898,2026-04-10 04:16:54.526243,0 days 00:01:09.805345,1,3,3,1709,1592,COMPLETE
14,0.04862785844141467,2026-04-10 04:16:54.527321,2026-04-10 04:17:53.522899,0 days 00:00:58.995578,4,5,27,1650,938,COMPLETE
15,0.04800694311850797,2026-04-10 04:17:53.525844,2026-04-10 04:18:43.323009,0 days 00:00:49.797165,1,19,25,1843,300,COMPLETE
16,0.048219229433930436,2026-04-10 04:18:43.324140,2026-04-10 04:19:38.328395,0 days 00:00:55.004255,2,15,31,1484,1003,COMPLETE
17,0.04750037029946812,2026-04-10 04:19:38.329553,2026-04-10 04:20:51.230748,0 days 00:01:12.901195,0,3,7,1728,1685,COMPLETE
18,0.04867665972761357,2026-04-10 04:20:51.239717,2026-04-10 04:21:43.786137,0 days 00:00:52.546420,5,5,17,770,982,COMPLETE
19,0.04842628498152024,2026-04-10 04:21:43.787382,2026-04-10 04:22:37.085506,0 days 00:00:53.298124,3,19,11,1507,277,COMPLETE
20,0.04846178278206221,2026-04-10 04:22:37.086669,2026-04-10 04:23:31.331334,0 days 00:00:54.244665,1,9,5,1166,1155,COMPLETE
21,0.04924294659436159,2026-04-10 04:23:31.332999,2026-04-10 04:24:41.772496,0 days 00:01:10.439497,2,3,5,1905,1599,COMPLETE
22,0.04911465113394979,2026-04-10 04:24:41.773973,2026-04-10 04:25:52.802392,0 days 00:01:11.028419,3,3,5,1982,1674,COMPLETE
23,0.04812243383110963,2026-04-10 04:25:52.804664,2026-04-10 04:27:05.497244,0 days 00:01:12.692580,1,3,27,1788,1626,COMPLETE
24,0.04892064711689326,2026-04-10 04:27:05.548026,2026-04-10 04:28:09.592036,0 days 00:01:04.044010,4,7,5,1592,1999,COMPLETE
25,0.04873358521196064,2026-04-10 04:28:09.594497,2026-04-10 04:29:26.123173,0 days 00:01:16.528676,2,11,17,1804,1791,COMPLETE
26,0.04808468740215535,2026-04-10 04:29:26.125036,2026-04-10 04:30:14.934608,0 days 00:00:48.809572,0,21,3,802,1462,COMPLETE
27,0.04935261926356644,2026-04-10 04:30:14.936736,2026-04-10 04:31:37.902278,0 days 00:01:22.965542,5,15,15,1999,1809,COMPLETE
28,0.04922573013220862,2026-04-10 04:31:37.903507,2026-04-10 04:32:45.780881,0 days 00:01:07.877374,7,15,15,1405,1823,COMPLETE
29,0.04871699347645305,2026-04-10 04:32:45.783407,2026-04-10 04:33:42.962299,0 days 00:00:57.178892,6,15,23,1645,725,COMPLETE
30,0.049197845488822736,2026-04-10 04:33:42.965170,2026-04-10 04:34:48.907706,0 days 00:01:05.942536,5,17,15,1987,1176,COMPLETE
31,0.049202068551074285,2026-04-10 04:34:48.909246,2026-04-10 04:35:59.074385,0 days 00:01:10.165139,3,3,13,1829,1523,COMPLETE
32,0.0490230735565112,2026-04-10 04:35:59.076588,2026-04-10 04:37:01.518915,0 days 00:01:02.442327,8,15,9,1874,1864,COMPLETE
33,0.04903945257848581,2026-04-10 04:37:01.529195,2026-04-10 04:38:11.763696,0 days 00:01:10.234501,5,11,11,1693,1741,COMPLETE
34,0.04857804913007231,2026-04-10 04:38:11.764981,2026-04-10 04:39:18.559870,0 days 00:01:06.794889,4,3,25,1176,1994,COMPLETE
35,0.04866556690217659,2026-04-10 04:39:18.562558,2026-04-10 04:40:11.821461,0 days 00:00:53.258903,6,7,7,1905,166,COMPLETE
36,0.04790878916918743,2026-04-10 04:40:11.822545,2026-04-10 04:41:20.422478,0 days 00:01:08.599933,1,15,29,1994,1500,COMPLETE
37,0.048939714879336356,2026-04-10 04:41:20.427470,2026-04-10 04:42:29.178842,0 days 00:01:08.751372,4,21,21,1555,1759,COMPLETE
38,0.048494234873548356,2026-04-10 04:42:29.180254,2026-04-10 04:43:22.023319,0 days 00:00:52.843065,2,17,15,1755,566,COMPLETE
39,0.046980015225160515,2026-04-10 04:43:22.024332,2026-04-10 04:44:10.484143,0 days 00:00:48.459811,0,13,23,1417,379,COMPLETE
40,0.048588789955936226,2026-04-10 04:44:10.492626,2026-04-10 04:45:08.258375,0 days 00:00:57.765749,3,15,31,1201,1299,COMPLETE
41,0.04920948231680222,2026-04-10 04:45:08.259766,2026-04-10 04:46:15.618750,0 days 00:01:07.358984,7,15,15,1382,1851,COMPLETE
42,0.048830506713300345,2026-04-10 04:46:15.620612,2026-04-10 04:47:27.868869,0 days 00:01:12.248257,9,15,15,1862,1883,COMPLETE
43,0.049244955871599785,2026-04-10 04:47:27.871369,2026-04-10 04:48:32.850512,0 days 00:01:04.979143,7,15,19,1606,1572,COMPLETE
44,0.048532423535553905,2026-04-10 04:48:32.853632,2026-04-10 04:49:19.178447,0 days 00:00:46.324815,6,9,19,106,1396,COMPLETE
45,0.04923437591450567,2026-04-10 04:49:19.179902,2026-04-10 04:50:26.548940,0 days 00:01:07.369038,8,3,19,1645,1561,COMPLETE
46,0.048288097081050786,2026-04-10 04:50:26.551004,2026-04-10 04:51:18.633622,0 days 00:00:52.082618,2,15,27,1288,722,COMPLETE
47,0.05004184654306042,2026-04-10 04:51:18.636164,2026-04-10 04:52:11.414317,0 days 00:00:52.778153,8,5,5,1910,1225,COMPLETE
48,0.0491784637504407,2026-04-10 04:52:11.417195,2026-04-10 04:53:15.914491,0 days 00:01:04.497296,9,5,19,1749,1258,COMPLETE
49,0.048913585686727296,2026-04-10 04:53:15.915889,2026-04-10 04:54:09.130424,0 days 00:00:53.214535,8,5,9,1576,831,COMPLETE
50,0.04875763516401808,2026-04-10 04:54:09.132974,2026-04-10 04:55:02.832340,0 days 00:00:53.699366,7,5,13,1005,1187,COMPLETE
51,0.050020889290083984,2026-04-10 04:55:02.834016,2026-04-10 04:55:54.330063,0 days 00:00:51.496047,9,19,5,1924,1091,COMPLETE
52,0.05002385650789578,2026-04-10 04:55:54.338748,2026-04-10 04:56:48.020247,0 days 00:00:53.681499,9,19,5,1914,1045,COMPLETE
53,0.05071993352645967,2026-04-10 04:56:48.021388,2026-04-10 04:57:39.027522,0 days 00:00:51.006134,10,19,5,1923,1088,COMPLETE
