method, tablet, action, timestamp_start, timestamp_end, comment
SAM, HT7a, set_image, 0:0:11, 0:0:43
SAM, HT7a, decode_mask, 0:0:53, 0:0:54
SAM, HT7a, decode_mask, 0:2:49, 0:3:16
SAM, HT7a, decode_mask, 0:4:37, 0:4:39
SAM, HT7a, decode_mask, 0:5:09, 0:5:49
SAM, HT7a, decode_mask, 0:6:08, 0:6:09
SAM, HT7a, decode_mask, 0:6:12, 0:6:13
SAM, HT7a, export, 0:6:19, 0:6:19
SAM, HT4, set_image, 0:6:37, 0:6:38
SAM, HT4, decode_mask, 0:7:10, 0:7:11
SAM, HT4, decode_mask, 0:8:31, 0:8:47
SAM, HT4, decode_mask, 0:10:00, 0:10:02
SAM, HT4, decode_mask, 0:10:19, 0:10:41
SAM, HT4, export, 0:10:54, 0:10:54
SAM, HT30, set_image, 0:11:31, 0:11:33
SAM, HT30, decode_mask, 0:11:38, 0:11:39
SAM, HT30, decode_mask, 0:13:50, 0:14:07
SAM, HT30, decode_mask, 0:16:16, 0:16:36
SAM, HT30, export, 0:16:42, 0:16:42

classic, HT7a, set_image, 0:0:17, 0:0:18
classic, HT7a, decode_mask, 0:0:19, 0:0:20
classic, HT7a, decode_mask, 0:0:25, 0:0:26
classic, HT7a, decode_mask, 0:0:27, 0:0:28
classic, HT7a, export, 0:0:31, 0:0:31, granularity +29/100

classic, HT4, set_image, 0:2:55, 0:2:56
classic, HT4, decode_mask, 0:2:56, 0:2:57
classic, HT4, decode_mask, 0:3:01, 0:3:02
classic, HT4, decode_mask, 0:3:02, 0:3:03
classic, HT4, decode_mask, 0:3:04, 0:3:05
classic, HT4, export, 0:3:07, 0:3:07, granularity +100/100

classic, HT30, set_image, 0:6:35, 0:6:36
classic, HT30, decode_mask, 0:6:37, 0:6:38
classic, HT30, decode_mask, 0:6:43, 0:6:44
classic, HT30, decode_mask, 0:6:46, 0:6:47
classic, HT30, decode_mask, 0:6:48, 0:6:49
classic, HT30, decode_mask, 0:6:51, 0:6:52
classic, HT30, decode_mask, 0:6:54, 0:6:55
classic, HT30, export, 0:6:58, 0:6:58, granularity +58/100






