number,value,datetime_start,datetime_complete,duration,params_C,params_d_bilateral,params_d_gaussian,params_sigma,state
0,0.15331722751107243,2026-03-27 12:25:54.648060,2026-03-27 12:25:56.773774,0 days 00:00:02.125714,4,21,23,25,COMPLETE
1,0.04371799306926041,2026-03-27 12:25:56.774724,2026-03-27 12:25:57.256693,0 days 00:00:00.481969,0,7,5,53,COMPLETE
2,0.1540575703936774,2026-03-27 12:25:57.257900,2026-03-27 12:25:58.951184,0 days 00:00:01.693284,3,19,11,74,COMPLETE
3,0.12464587383656216,2026-03-27 12:25:58.951989,2026-03-27 12:25:59.342644,0 days 00:00:00.390655,5,3,17,129,COMPLETE
4,0.05329647089320312,2026-03-27 12:25:59.343503,2026-03-27 12:26:01.921705,0 days 00:00:02.578202,0,23,23,109,COMPLETE
5,0.14483858573758635,2026-03-27 12:26:01.923132,2026-03-27 12:26:02.473739,0 days 00:00:00.550607,4,7,11,135,COMPLETE
6,0.15161199711142567,2026-03-27 12:26:02.475489,2026-03-27 12:26:05.629331,0 days 00:00:03.153842,9,25,23,55,COMPLETE
7,0.08117734384729126,2026-03-27 12:26:05.630343,2026-03-27 12:26:07.287787,0 days 00:00:01.657444,2,17,5,84,COMPLETE
8,0.10555779394768125,2026-03-27 12:26:07.289251,2026-03-27 12:26:07.790145,0 days 00:00:00.500894,10,5,11,81,COMPLETE
9,0.12865719110732426,2026-03-27 12:26:07.790966,2026-03-27 12:26:08.653327,0 days 00:00:00.862361,3,5,9,37,COMPLETE
10,0.013465103516132464,2026-03-27 12:26:08.654930,2026-03-27 12:26:12.536639,0 days 00:00:03.881709,8,19,3,2,COMPLETE
11,0.12533112356874612,2026-03-27 12:26:12.537948,2026-03-27 12:26:16.716123,0 days 00:00:04.178175,7,21,29,2,COMPLETE
12,0.16970963803597414,2026-03-27 12:26:16.716898,2026-03-27 12:26:20.515025,0 days 00:00:03.798127,6,21,19,30,COMPLETE
13,0.16856524400222878,2026-03-27 12:26:20.515802,2026-03-27 12:26:22.396589,0 days 00:00:01.880787,6,13,19,94,COMPLETE
14,0.16598686248942923,2026-03-27 12:26:22.397695,2026-03-27 12:26:24.155463,0 days 00:00:01.757768,7,13,19,106,COMPLETE
15,0.16829308669798,2026-03-27 12:26:24.156810,2026-03-27 12:26:25.950500,0 days 00:00:01.793690,6,13,19,102,COMPLETE
16,0.15910073081296502,2026-03-27 12:26:25.951234,2026-03-27 12:26:27.449448,0 days 00:00:01.498214,6,11,15,150,COMPLETE
17,0.07494110009626685,2026-03-27 12:26:27.451643,2026-03-27 12:26:36.252971,0 days 00:00:08.801328,8,31,7,26,COMPLETE
18,0.17127291984784931,2026-03-27 12:26:36.253901,2026-03-27 12:26:38.578388,0 days 00:00:02.324487,5,15,19,63,COMPLETE
19,0.10269911343845096,2026-03-27 12:26:38.580400,2026-03-27 12:26:40.210117,0 days 00:00:01.629717,2,15,31,62,COMPLETE
20,0.1641483480440818,2026-03-27 12:26:40.211507,2026-03-27 12:26:41.406353,0 days 00:00:01.194846,5,15,21,36,COMPLETE
21,0.12492196884841485,2026-03-27 12:26:41.407395,2026-03-27 12:26:45.092403,0 days 00:00:03.685008,5,29,19,91,COMPLETE
22,0.14023609429982709,2026-03-27 12:26:45.094183,2026-03-27 12:26:48.415085,0 days 00:00:03.320902,6,27,19,70,COMPLETE
23,0.14978460907010893,2026-03-27 12:26:48.415936,2026-03-27 12:26:49.144247,0 days 00:00:00.728311,7,9,25,41,COMPLETE
24,0.15337286320943794,2026-03-27 12:26:49.145252,2026-03-27 12:26:51.252024,0 days 00:00:02.106772,4,21,13,18,COMPLETE
25,0.1725303776803789,2026-03-27 12:26:51.253332,2026-03-27 12:26:52.459053,0 days 00:00:01.205721,8,15,27,49,COMPLETE
26,0.1744614293748301,2026-03-27 12:26:52.460895,2026-03-27 12:26:53.636434,0 days 00:00:01.175539,9,15,27,49,COMPLETE
27,0.17446256533155105,2026-03-27 12:26:53.637425,2026-03-27 12:26:54.877111,0 days 00:00:01.239686,10,15,27,48,COMPLETE
28,0.17446256533155105,2026-03-27 12:26:54.878653,2026-03-27 12:26:56.136460,0 days 00:00:01.257807,10,15,27,48,COMPLETE
29,0.16120856454282145,2026-03-27 12:26:56.137761,2026-03-27 12:26:57.321278,0 days 00:00:01.183517,10,15,27,13,COMPLETE
30,0.17439347882634373,2026-03-27 12:26:57.322320,2026-03-27 12:26:58.524805,0 days 00:00:01.202485,9,15,27,44,COMPLETE
31,0.17445223471345406,2026-03-27 12:26:58.525535,2026-03-27 12:26:59.718032,0 days 00:00:01.192497,9,15,27,45,COMPLETE
32,0.17397372795554703,2026-03-27 12:26:59.719417,2026-03-27 12:27:01.024792,0 days 00:00:01.305375,9,15,27,58,COMPLETE
33,0.17446256533155105,2026-03-27 12:27:01.025793,2026-03-27 12:27:02.296847,0 days 00:00:01.271054,10,15,27,48,COMPLETE
34,0.14523001805953034,2026-03-27 12:27:02.297755,2026-03-27 12:27:02.735490,0 days 00:00:00.437735,10,3,27,17,COMPLETE
35,0.15122496752498565,2026-03-27 12:27:02.737670,2026-03-27 12:27:05.229756,0 days 00:00:02.492086,10,23,27,67,COMPLETE
36,0.13068136870511873,2026-03-27 12:27:05.230491,2026-03-27 12:27:06.378695,0 days 00:00:01.148204,10,15,17,51,COMPLETE
37,0.1518808712269214,2026-03-27 12:27:06.379368,2026-03-27 12:27:06.931684,0 days 00:00:00.552316,9,7,27,75,COMPLETE
38,0.17454829457849622,2026-03-27 12:27:06.932767,2026-03-27 12:27:09.718209,0 days 00:00:02.785442,8,25,27,33,COMPLETE
