number,value,datetime_start,datetime_complete,duration,params_C,params_d_gap_erosion,params_d_gaussian,params_n_bgd_points,params_n_fgd_points,state
0,0.048590377656467315,2026-04-09 12:39:59.288828,2026-04-09 12:40:45.435245,0 days 00:00:46.146417,4,17,23,1050,609,COMPLETE
1,0.04873583628508427,2026-04-09 12:40:45.436004,2026-04-09 12:41:35.387595,0 days 00:00:49.951591,6,11,13,1326,518,COMPLETE
2,0.050584436787023394,2026-04-09 12:41:35.388722,2026-04-09 12:42:20.631315,0 days 00:00:45.242593,0,15,27,1631,12,COMPLETE
3,0.048125887796108574,2026-04-09 12:42:20.634450,2026-04-09 12:43:01.096479,0 days 00:00:40.462029,3,7,9,1273,63,COMPLETE
4,0.048632734314702136,2026-04-09 12:43:01.097188,2026-04-09 12:43:37.576951,0 days 00:00:36.479763,10,21,19,1022,14,COMPLETE
5,0.04906560557784304,2026-04-09 12:43:37.592028,2026-04-09 12:44:37.500336,0 days 00:00:59.908308,10,17,29,1524,1345,COMPLETE
6,0.04707507073681586,2026-04-09 12:44:37.501317,2026-04-09 12:45:26.369243,0 days 00:00:48.867926,0,15,21,1320,516,COMPLETE
7,0.04853526877721813,2026-04-09 12:45:26.370821,2026-04-09 12:46:13.258288,0 days 00:00:46.887467,7,13,15,449,1304,COMPLETE
8,0.04922639778958847,2026-04-09 12:46:13.260715,2026-04-09 12:47:26.595072,0 days 00:01:13.334357,2,13,5,1908,1881,COMPLETE
9,0.04868399880726913,2026-04-09 12:47:26.596179,2026-04-09 12:48:07.499254,0 days 00:00:40.903075,9,9,19,588,719,COMPLETE
10,0.047733026524470805,2026-04-09 12:48:07.507391,2026-04-09 12:48:53.791735,0 days 00:00:46.284344,0,15,27,36,1940,COMPLETE
11,0.04925695684579871,2026-04-09 12:48:53.795727,2026-04-09 12:50:08.743995,0 days 00:01:14.948268,2,3,5,1935,1931,COMPLETE
12,0.04925285378768335,2026-04-09 12:50:08.744855,2026-04-09 12:51:16.346295,0 days 00:01:07.601440,2,3,5,1983,1380,COMPLETE
13,0.04878790514677726,2026-04-09 12:51:16.348560,2026-04-09 12:52:23.675359,0 days 00:01:07.326799,1,3,3,1709,1592,COMPLETE
14,0.04862648737840853,2026-04-09 12:52:23.683666,2026-04-09 12:53:20.673251,0 days 00:00:56.989585,4,5,27,1650,938,COMPLETE
15,0.04794452674656173,2026-04-09 12:53:20.674267,2026-04-09 12:54:07.014852,0 days 00:00:46.340585,1,19,25,1843,300,COMPLETE
16,0.048257955947358114,2026-04-09 12:54:07.015699,2026-04-09 12:55:00.939482,0 days 00:00:53.923783,2,15,31,1484,1003,COMPLETE
17,0.04748370294629686,2026-04-09 12:55:00.942578,2026-04-09 12:56:13.131048,0 days 00:01:12.188470,0,3,7,1728,1685,COMPLETE
18,0.048735434519503004,2026-04-09 12:56:13.132383,2026-04-09 12:57:00.659624,0 days 00:00:47.527241,5,5,17,770,982,COMPLETE
19,0.048430119714348616,2026-04-09 12:57:00.661014,2026-04-09 12:57:46.010603,0 days 00:00:45.349589,3,19,11,1507,277,COMPLETE
20,0.04848202575550874,2026-04-09 12:57:46.011437,2026-04-09 12:58:38.977405,0 days 00:00:52.965968,1,9,5,1166,1155,COMPLETE
21,0.049273258125307064,2026-04-09 12:58:38.978992,2026-04-09 12:59:47.538643,0 days 00:01:08.559651,2,3,5,1905,1599,COMPLETE
22,0.049125117653684144,2026-04-09 12:59:47.539566,2026-04-09 13:00:57.687603,0 days 00:01:10.148037,3,3,5,1982,1674,COMPLETE
23,0.04816278108696599,2026-04-09 13:00:57.690814,2026-04-09 13:02:08.400731,0 days 00:01:10.709917,1,3,27,1788,1626,COMPLETE
24,0.048853126204287174,2026-04-09 13:02:08.403288,2026-04-09 13:03:06.382358,0 days 00:00:57.979070,4,7,5,1592,1999,COMPLETE
25,0.048735533606890896,2026-04-09 13:03:06.384554,2026-04-09 13:04:18.935561,0 days 00:01:12.551007,2,11,17,1804,1791,COMPLETE
26,0.04808468740215535,2026-04-09 13:04:18.936664,2026-04-09 13:05:04.094024,0 days 00:00:45.157360,0,21,3,802,1462,COMPLETE
27,0.04934598903560914,2026-04-09 13:05:04.097157,2026-04-09 13:06:21.317172,0 days 00:01:17.220015,5,15,15,1999,1809,COMPLETE
28,0.049123855772524,2026-04-09 13:06:21.318878,2026-04-09 13:07:19.435249,0 days 00:00:58.116371,7,15,15,1405,1201,COMPLETE
