number,value,datetime_start,datetime_complete,duration,params_C,params_d_gap_erosion,params_d_gaussian,params_n_bgd_points,params_n_fgd_points,state
0,0.14661383556743923,2026-04-09 11:22:12.634991,2026-04-09 11:23:00.642116,0 days 00:00:48.007125,4,17,23,1050,609,COMPLETE
1,0.15512862242503983,2026-04-09 11:23:00.645305,2026-04-09 11:23:50.962229,0 days 00:00:50.316924,6,11,13,1326,518,COMPLETE
2,0.05644858738674361,2026-04-09 11:23:50.966396,2026-04-09 11:24:38.452143,0 days 00:00:47.485747,0,15,27,1631,12,COMPLETE
3,0.1577096235020034,2026-04-09 11:24:38.453277,2026-04-09 11:25:22.671889,0 days 00:00:44.218612,3,7,9,1273,63,COMPLETE
4,0.1164432425997423,2026-04-09 11:25:22.673510,2026-04-09 11:26:02.270010,0 days 00:00:39.596500,10,21,19,1022,14,COMPLETE
5,0.14417097170558624,2026-04-09 11:26:02.270880,2026-04-09 11:27:05.221442,0 days 00:01:02.950562,10,17,29,1524,1345,COMPLETE
6,0.08529840839710613,2026-04-09 11:27:05.222806,2026-04-09 11:27:54.592423,0 days 00:00:49.369617,0,15,21,1320,516,COMPLETE
7,0.13209987073519017,2026-04-09 11:27:54.593465,2026-04-09 11:28:45.262396,0 days 00:00:50.668931,7,13,15,449,1304,COMPLETE
8,0.1403570684975731,2026-04-09 11:28:45.263556,2026-04-09 11:29:58.355175,0 days 00:01:13.091619,2,13,5,1908,1881,COMPLETE
9,0.14139331235970873,2026-04-09 11:29:58.356370,2026-04-09 11:30:42.174280,0 days 00:00:43.817910,9,9,19,588,719,COMPLETE
10,0.09716849851695565,2026-04-09 11:30:42.175568,2026-04-09 11:31:35.792295,0 days 00:00:53.616727,3,7,9,36,1940,COMPLETE
11,0.1575562656143384,2026-04-09 11:31:35.794510,2026-04-09 11:32:22.057353,0 days 00:00:46.262843,6,11,13,1254,328,COMPLETE
12,0.15025870158720644,2026-04-09 11:32:22.058275,2026-04-09 11:33:01.052524,0 days 00:00:38.994249,7,7,13,747,256,COMPLETE
13,0.04433361669098661,2026-04-09 11:33:01.054689,2026-04-09 11:33:45.772136,0 days 00:00:44.717447,5,11,3,1320,952,COMPLETE
14,0.15845277796142615,2026-04-09 11:33:45.774806,2026-04-09 11:34:37.812030,0 days 00:00:52.037224,2,5,9,1744,204,COMPLETE
15,0.1577117023089386,2026-04-09 11:34:37.812969,2026-04-09 11:35:33.489842,0 days 00:00:55.676873,2,5,9,1972,237,COMPLETE
16,0.13538134821499123,2026-04-09 11:35:33.491424,2026-04-09 11:36:36.686205,0 days 00:01:03.194781,1,5,31,1993,843,COMPLETE
17,0.1521032921044922,2026-04-09 11:36:36.687297,2026-04-09 11:37:29.034021,0 days 00:00:52.346724,2,5,25,1735,298,COMPLETE
18,0.1408724996410952,2026-04-09 11:37:29.035370,2026-04-09 11:38:33.692342,0 days 00:01:04.656972,2,5,17,1788,1208,COMPLETE
19,0.13167324200309782,2026-04-09 11:38:33.695835,2026-04-09 11:39:38.022352,0 days 00:01:04.326517,4,19,7,1531,1590,COMPLETE
20,0.1537633128768721,2026-04-09 11:39:38.032606,2026-04-09 11:40:32.277075,0 days 00:00:54.244469,1,3,9,1866,251,COMPLETE
21,0.1592713747166981,2026-04-09 11:40:32.277880,2026-04-09 11:41:21.389667,0 days 00:00:49.111787,3,5,9,1619,124,COMPLETE
22,0.15853102824980334,2026-04-09 11:41:21.390986,2026-04-09 11:42:13.827145,0 days 00:00:52.436159,3,5,11,1613,399,COMPLETE
23,0.1581077914100693,2026-04-09 11:42:13.829663,2026-04-09 11:43:06.448203,0 days 00:00:52.618540,4,5,11,1581,444,COMPLETE
24,0.15419760098258964,2026-04-09 11:43:06.449054,2026-04-09 11:44:02.666059,0 days 00:00:56.217005,3,5,11,1660,722,COMPLETE
25,0.15661171701287283,2026-04-09 11:44:02.666944,2026-04-09 11:44:48.319509,0 days 00:00:45.652565,1,5,9,1452,118,COMPLETE
26,0.1574447596500599,2026-04-09 11:44:48.320639,2026-04-09 11:45:43.295337,0 days 00:00:54.974698,3,3,11,1760,399,COMPLETE
27,0.05122912439944717,2026-04-09 11:45:43.297682,2026-04-09 11:46:21.848655,0 days 00:00:38.550973,5,21,3,902,185,COMPLETE
28,0.1464046482158813,2026-04-09 11:46:21.849964,2026-04-09 11:47:11.976798,0 days 00:00:50.126834,5,9,29,1130,679,COMPLETE
29,0.15041540036371584,2026-04-09 11:47:11.977559,2026-04-09 11:48:02.227295,0 days 00:00:50.249736,4,19,23,1434,556,COMPLETE
30,0.13281437426587217,2026-04-09 11:48:02.228689,2026-04-09 11:48:52.856277,0 days 00:00:50.627588,1,17,7,1112,854,COMPLETE
31,0.15864464328482628,2026-04-09 11:48:52.857456,2026-04-09 11:49:44.715642,0 days 00:00:51.858186,4,5,11,1633,400,COMPLETE
32,0.15893519989652496,2026-04-09 11:49:44.726618,2026-04-09 11:50:38.128592,0 days 00:00:53.401974,4,5,11,1703,387,COMPLETE
33,0.1510771782208685,2026-04-09 11:50:38.129429,2026-04-09 11:51:29.141307,0 days 00:00:51.011878,6,5,11,1454,394,COMPLETE
34,0.15266954448883158,2026-04-09 11:51:29.143155,2026-04-09 11:52:24.623504,0 days 00:00:55.480349,5,5,11,1650,615,COMPLETE
35,0.160410788389589,2026-04-09 11:52:24.633880,2026-04-09 11:53:07.580167,0 days 00:00:42.946287,4,5,11,1195,126,COMPLETE
36,0.15963513505177515,2026-04-09 11:53:07.582989,2026-04-09 11:53:49.884977,0 days 00:00:42.301988,4,15,11,1202,116,COMPLETE
37,0.15405939508564148,2026-04-09 11:53:49.886193,2026-04-09 11:54:27.732336,0 days 00:00:37.846143,6,15,27,915,21,COMPLETE
38,0.15683386919748424,2026-04-09 11:54:27.734327,2026-04-09 11:55:10.500198,0 days 00:00:42.765871,3,15,21,1185,108,COMPLETE
39,0.06097313764013797,2026-04-09 11:55:10.501422,2026-04-09 11:55:49.248381,0 days 00:00:38.746959,5,15,15,983,6,COMPLETE
40,0.0602841263461556,2026-04-09 11:55:49.249327,2026-04-09 11:56:25.526189,0 days 00:00:36.276862,7,13,5,756,130,COMPLETE
41,0.15597380990581958,2026-04-09 11:56:25.527594,2026-04-09 11:57:17.279963,0 days 00:00:51.752369,4,21,11,1413,531,COMPLETE
42,0.1603177517070286,2026-04-09 11:57:17.281220,2026-04-09 11:58:00.698784,0 days 00:00:43.417564,4,17,11,1245,140,COMPLETE
43,0.15938821896840474,2026-04-09 11:58:00.699664,2026-04-09 11:58:43.604083,0 days 00:00:42.904419,3,17,11,1217,130,COMPLETE
44,0.15328756470566904,2026-04-09 11:58:43.605234,2026-04-09 11:59:26.245846,0 days 00:00:42.640612,3,17,31,1223,125,COMPLETE
45,0.1572120705940061,2026-04-09 11:59:26.247265,2026-04-09 12:00:05.269645,0 days 00:00:39.022380,3,17,19,1041,70,COMPLETE
46,0.15848867493024146,2026-04-09 12:00:05.271433,2026-04-09 12:00:53.313412,0 days 00:00:48.041979,6,17,17,1311,196,COMPLETE
47,0.15348599209099334,2026-04-09 12:00:53.314429,2026-04-09 12:01:37.002738,0 days 00:00:43.688309,5,17,25,1117,293,COMPLETE
